,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
0,A,Agilent Technologies Inc.,stocks,us,XNYS,CS,True,usd,0001090872,BBG000C2V3D6,BBG001SCTQY4,2024-03-05T00:00:00Z
1,AA,Alcoa Corporation,stocks,us,XNYS,CS,True,usd,0001675149,BBG00B3T3HD3,BBG00B3T3HF1,2024-03-05T00:00:00Z
2,AAA,AXS First Priority CLO Bond ETF,stocks,us,ARCX,ETF,True,usd,0001776878,BBG01B0JRCS6,BBG01B0JRCT5,2024-03-05T00:00:00Z
3,AAAIF,ALTERNATIVE INVSTMENT TR,otc,us,,FUND,True,USD,,,,2022-08-26T05:00:07.114Z
4,AAALY,AAREAL BANK AG UNSP/ADR,otc,us,,ADRC,True,USD,,BBG002628DF1,BBG002628F57,2023-05-04T05:00:29.876Z
5,AAAU,Goldman Sachs Physical Gold ETF Shares,stocks,us,BATS,ETF,True,usd,0001708646,BBG00LPXX872,BBG00LPXX8Z1,2024-03-05T00:00:00Z
6,AABB,ASIA BROADBAND INC,otc,us,,CS,True,USD,,BBG000CWNRN5,BBG001SGRBK5,2024-02-13T09:45:11.736Z
7,AABVF,ABERDEEN INTL INC,otc,us,,OS,True,USD,,BBG000BXKHJ4,BBG001S6XZ90,2023-05-10T05:00:36.305Z
8,AACAF,AAC TECHS HLDGS INC ORD,otc,us,,OS,True,USD,,,,2022-06-24T14:14:05.429Z
9,AACAY,AAC TECHS HLDGS UNSP/ADR,otc,us,,ADRC,True,USD,,BBG000VNTB62,BBG001T3PT80,2023-04-14T05:00:16.614Z
10,AACG,ATA Creativity Global American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001420529,BBG000V2S3P6,BBG001T125S9,2024-03-05T00:00:00Z
11,AACI,Armada Acquisition Corp. I Common Stock,stocks,us,XNAS,CS,True,usd,0001844817,BBG011XR7306,BBG011XR7315,2024-03-05T00:00:00Z
12,AACIU,Armada Acquisition Corp. I Unit,stocks,us,XNAS,UNIT,True,usd,0001844817,BBG011PFP1D1,BBG011PFP285,2024-03-05T00:00:00Z
13,AACIW,Armada Acquisition Corp. I Warrant,stocks,us,XNAS,WARRANT,True,usd,0001844817,BBG011XRPQV1,,2024-03-05T00:00:00Z
14,AACS,AMER COMMERCE SOLTNS INC,otc,us,,CS,True,USD,,BBG000JVQ2Q9,BBG001SBV1Z7,2023-10-11T21:27:34.659Z
15,AACT,Ares Acquisition Corporation II,stocks,us,XNYS,CS,True,usd,0001853138,,,2024-03-05T00:00:00Z
16,AACT.U,"Ares Acquisition Corporation II Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",stocks,us,XNYS,UNIT,True,usd,0001853138,,,2024-03-05T00:00:00Z
17,AACT.WS,"Ares Acquisition Corporation II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",stocks,us,XNYS,WARRANT,True,usd,0001853138,,,2024-03-05T00:00:00Z
18,AACTF,AURORA SOLAR TECHNOLOGIES,otc,us,,OS,True,USD,,BBG005BTJ9X6,BBG001STZM33,2022-08-12T05:00:19.436Z
19,AADI,"Aadi Bioscience, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001422142,BBG002WN7DT2,BBG002WN7DV9,2024-03-05T00:00:00Z
20,AADR,AdvisorShares Dorsey Wright ADR ETF,stocks,us,XNAS,ETF,True,usd,0001408970,BBG000BDYRW6,BBG001T9B1Y4,2024-03-05T00:00:00Z
21,AAEEF,ALTAIR RES INC ORD,otc,us,,OS,True,USD,,BBG002DMMHW5,BBG001SPCXW0,2024-03-05T09:45:12.481Z
22,AAFRF,AIRTEL AFRICA PLC,otc,us,,OS,True,USD,,,,2022-09-30T14:57:35.719Z
23,AAGC,ALL AMERICAN GOLD CORP,otc,us,,CS,True,USD,,BBG000R4MM71,BBG001T948W9,2024-02-23T09:45:11.986Z
24,AAGFF,AFTERMATH SILVER LTD ORD,otc,us,,OS,True,USD,,BBG001ZZWS68,BBG001V0ZJL9,2023-11-07T09:45:12.452Z
25,AAGH,AMERICA GREAT HEALTH,otc,us,,CS,True,USD,,BBG003443HQ1,BBG003443JG8,2024-02-27T06:00:05.339Z
26,AAGIY,AIA GROUP LTD S/ADR,otc,us,,ADRC,True,USD,,BBG001R3QP52,BBG001V28NN4,2023-10-11T21:27:57.259Z
27,AAGR,African Agriculture Holdings Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001848898,BBG00ZKGK0R2,BBG00ZKGK109,2024-03-05T00:00:00Z
28,AAGRW,African Agriculture Holdings Inc. Warrant,stocks,us,XNAS,WARRANT,True,usd,0001848898,BBG00ZKXGR82,,2024-03-05T00:00:00Z
29,AAGRY,ASTRA AGRO LESTR UNSP/ADR,otc,us,,ADRC,True,USD,,BBG000KF9H79,BBG001T8KP46,2023-05-04T05:00:30.876Z
30,AAHIF,ASAHI CO LTD ORD,otc,us,,OS,True,USD,,,,2023-06-28T08:45:17.007Z
31,AAIGF,AIA GROUP LTD ORD,otc,us,,OS,True,USD,,,,2022-07-13T16:04:35.488Z
32,AAIIQ,ALABAMA AIRCRAFT INDUS,otc,us,,CS,True,USD,,BBG000HPGHW5,BBG001SD4Q88,2023-10-11T21:27:35.459Z
33,AAIRF,AMERICAN AIRES INC,otc,us,,OS,True,USD,,BBG00RD2H0V8,BBG00L8QSZF3,2024-03-02T09:45:13.834Z
34,AAKAY,AAK AB UNSP/ADR,otc,us,,ADRC,True,USD,,BBG01L562BD2,BBG01L562C77,2024-01-31T18:59:08.681Z
35,AAL,American Airlines Group Inc.,stocks,us,XNAS,CS,True,usd,0000006201,BBG005P7Q881,BBG005P7Q907,2024-03-05T00:00:00Z
36,AALBF,AALBERTS INDUS NV ORD,otc,us,,OS,True,USD,,,,2021-09-28T00:10:12.175Z
37,AAMAF,ATLAS MARA CO NVEST ORD,otc,us,,OS,True,USD,,,,2021-12-10T07:30:30.598Z
38,AAMC,Altisource Asset Mgmt Corp,stocks,us,XASE,CS,True,usd,0001555074,BBG003PNL136,BBG003PNL145,2024-03-05T00:00:00Z
39,AAME,Atlantic American Corp,stocks,us,XNAS,CS,True,usd,0000008177,BBG000B9XB24,BBG001S5N8T1,2024-03-05T00:00:00Z
40,AAMMF,ALMADEX MINERALS LTD,otc,us,,OS,True,USD,,BBG00L1LR0B3,BBG00K66WBV1,2023-06-28T05:00:18.407Z
41,AAMTF,ARMADA MERCANTILE LTD,otc,us,,OS,True,USD,,BBG000K7V8F3,BBG001S6TJ73,2023-06-28T05:00:20.007Z
42,AAN,"The Aaron's Company, Inc.",stocks,us,XNYS,CS,True,usd,0001821393,BBG00WCNDCZ6,BBG00WCNDDH4,2024-03-05T00:00:00Z
43,AANNF,AROUNDTOWN SA ORD,otc,us,,OS,True,USD,,,,2021-09-28T08:45:23.537Z
44,AAOI,"Applied Optoelectronics, Inc.",stocks,us,XNAS,CS,True,usd,0001158114,BBG000D6VW15,BBG001SG47G4,2024-03-05T00:00:00Z
45,AAON,Aaon Inc,stocks,us,XNAS,CS,True,usd,0000824142,BBG000C2LZP3,BBG001S6CZK0,2024-03-05T00:00:00Z
46,AAP,ADVANCE AUTO PARTS INC,stocks,us,XNYS,CS,True,usd,0001158449,BBG000F7RCJ1,BBG001SD2SB2,2024-03-05T00:00:00Z
47,AAPB,GraniteShares ETF Trust GraniteShares 2x Long AAPL Daily ETF,stocks,us,XNAS,ETS,True,usd,0001689873,BBG0193F21N2,BBG0193F22H7,2024-03-05T00:00:00Z
48,AAPD,Direxion Daily AAPL Bear 1X Shares,stocks,us,XNAS,ETS,True,usd,,BBG0193YGJ57,BBG0193YGK09,2024-03-05T00:00:00Z
49,AAPI,APPLE ISPORTS GROUP INC,otc,us,,CS,True,USD,,BBG000CQN9X7,BBG001SGHPN2,2024-03-02T09:45:13.734Z
50,AAPJ,AAP INC,otc,us,,CS,True,USD,,BBG000BHS5L4,BBG001S6BY24,2023-12-29T09:45:11.357Z
51,AAPL,Apple Inc.,stocks,us,XNAS,CS,True,usd,0000320193,BBG000B9XRY4,BBG001S5N8V8,2024-03-05T00:00:00Z
52,AAPT,ALL AMERICAN PET CO INC,otc,us,,CS,True,USD,,BBG000R7ZH35,BBG001SM7HC0,2024-03-05T09:45:11.881Z
53,AAPU,Direxion Daily AAPL Bull 1.5X Shares,stocks,us,XNAS,ETS,True,usd,,BBG0193YBZ92,BBG0193YC043,2024-03-05T00:00:00Z
54,AAPX,T-Rex 2X Long Apple Daily Target ETF,stocks,us,BATS,ETS,True,usd,,BBG01KY72SD3,BBG01KY72T78,2024-03-05T00:00:00Z
55,AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,stocks,us,BATS,ETS,True,usd,,BBG01JXKG7J3,BBG01JXKG8C8,2024-03-05T00:00:00Z
56,AAQL,ANTIAGING QNTUM LGN A,otc,us,,CS,True,USD,,BBG00CTT6WQ3,BBG00CTT6WR2,2023-10-11T21:28:39.259Z
57,AARTY,AIRTEL AFRICA PLC ADR,otc,us,,ADRC,True,USD,,BBG0175XTW30,BBG0175XTWY6,2023-09-06T05:00:17.289Z
58,AASCF,ABERDEEN ASIAN SMALLR COS,otc,us,,OS,True,USD,,,,2023-12-07T07:42:11.782Z
59,AASP,GLOBAL ACQUISITIONS CORP,otc,us,,CS,True,USD,,BBG000K2W621,BBG001S7JJF3,2023-05-04T05:00:32.276Z
60,AASZF,ATLANTIC SAPPHIRE AS,otc,us,,OS,True,USD,,,,2023-11-20T19:53:20.382Z
61,AAT,"AMERICAN ASSETS TRUST, INC.",stocks,us,XNYS,CS,True,usd,0001500217,BBG00161BCR0,BBG001TCBJS5,2024-03-05T00:00:00Z
62,AATC,AUTOSCOPE TECHS CORP,otc,us,,CS,True,USD,,BBG011MC2100,BBG011MC2119,2024-02-03T09:45:13.383Z
